Item,31/03/2025,31/12/2024
Caixa e equivalentes de caixa,26950,20254
Títulos e valores mobiliários,17078,26397
Contas a receber,23431,29857
Estoques,42779,41150
Tributos a recuperar,2585,2545
Impostos e contribuições,6745,9630
Outros créditos e ativos,7922,9559
Ativos mantidos para venda,121692,132055
Ativo Circulante,124853,136791
Adiantamentos a fornecedores,0,0
Depósitos e cauções,75078,72745
Tributos a recuperar (NC),25449,32231
Tributos diferidos,5646,5710
Direito de uso (Leasing IFRS 16),0,0
Imobilizado,825973,843917
Intangível,16103,13961
Ativo Não Circulante,1022863,989585
Total do Ativo,1147716,1124797
