Item,31/03/2025,31/12/2024
Receita líquida (Receita de vendas),123144,117721
Custo dos produtos e serviços vendidos,-62435,-57020
Lucro bruto,60709,60701
"Despesas de geologia, geofísica e exploratórias",-1181,-670
Custos com pesquisa e desenvolvimento tecnológico,-1179,-908
Despesas com vendas,-6376,-6606
Despesas com pessoal,0,0
Despesas gerais e administrativas,-2592,-2216
Despesas com serviços de terceiros,0,0
Despesa de depreciação e amortização,0,0
Despesas tributárias e impostos,-722,-695
Reversão/(Perda) - Impairment,29,69
Outras receitas (despesas) operacionais líquidas,-5194,-5167
Resultado operacional antes do resultado financeiro,-18164,-16217
Receitas financeiras,737,2736
Despesas financeiras,-5744,-5310
Variações monetárias e cambiais líquidas,14602,-7005
Resultado de equivalência patrimonial,495,457
Lucro antes dos tributos sobre o lucro,53635,34448
Imposto de renda e contribuição social corrente,-18304,-10638
Imposto de renda e contribuição social diferido,0,0
Lucro líquido do período,35331,23810
Atribuível aos acionistas da controladora,35209,23700
Atribuível aos acionistas não controladores,122,110
Lucro por ação - básico,2.73,1.83
Lucro por ação - diluído,2.73,1.83
