Item,31/03/2025,31/12/2024
Fornecedores,31265,37659
Empréstimos e financiamentos - Circulante,15865,15897
Empréstimos e financiamentos - Não Circulante,0,0
Arrendamentos - Circulante,50764,52896
Arrendamentos - Não Circulante,0,0
Imposto de renda e contribuição social,8442,8671
Tributos e contribuições sociais a pagar,20531,20536
Dividendos propostos,10401,16052
Provisão para desmantelamento/abandono,15307,16498
Benefícios a empregados,15307,14337
Provisão para contingências judiciais,17171,14190
Outros passivos,9546,10029
Passivos associados a ativos mantidos para venda,4687,4478
Adiantamento de parceiros,0,0
Contas a pagar earn-out Albacora Leste,0,0
Marcação a mercado de swaps de debêntures,0,0
Debêntures locais - Circulante,0,0
Debêntures locais - Não Circulante,0,0
Tributos diferidos,0,0
Total Passivo Circulante,173828,194808
Total Passivo Não Circulante,973888,929989
Capital social realizado,0,0
Reservas de capital,0,0
Reservas de lucros,0,0
Ajuste acumulado de conversão,0,0
Ajuste de avaliação patrimonial,0,0
Resultado do período,0,0
Total do Passivo e PL,1147716,1124797
