Item,31/03/2025,31/12/2024
Caixa e equivalentes de caixa,4162326,3993359
Títulos e valores mobiliários,0,0
Contas a receber,1762409,931770
Estoques,1173067,1204744
Tributos a recuperar,842846,1203464
Impostos e contribuições,0,0
Outros créditos e ativos,49795,34998
Ativos mantidos para venda,0,0
Ativo Circulante,8294219,7952572
Adiantamentos a fornecedores,794,881
Depósitos e cauções,170586,171082
Tributos a recuperar (NC),346671,185260
Tributos diferidos,7508470,5636399
Direito de uso (Leasing IFRS 16),2641075,2421249
Imobilizado,21057668,22876260
Intangível,14770382,16502462
Ativo Não Circulante,46495646,47793593
Total do Ativo,54789865,55746165
