Item,31/03/2025,31/12/2024
Receita líquida (Receita de vendas),4440809,3200186
Custo dos produtos e serviços vendidos,-3039886,-1387639
Lucro bruto,1400923,1812547
"Despesas de geologia, geofísica e exploratórias",0,-450
Custos com pesquisa e desenvolvimento tecnológico,0,0
Despesas com vendas,0,0
Despesas com pessoal,-125377,-42479
Despesas gerais e administrativas,-30443,-16786
Despesas com serviços de terceiros,-41834,-19279
Despesa de depreciação e amortização,-51755,-25497
Despesas tributárias e impostos,-1801,-14323
Reversão/(Perda) - Impairment,0,0
Outras receitas (despesas) operacionais líquidas,-83355,30023
Resultado operacional antes do resultado financeiro,1066358,1723756
Receitas financeiras,63022,53815
Despesas financeiras,-516059,-289034
Variações monetárias e cambiais líquidas,-28594,36540
Resultado de equivalência patrimonial,0,0
Lucro antes dos tributos sobre o lucro,584727,1525077
Imposto de renda e contribuição social corrente,-295896,-180923
Imposto de renda e contribuição social diferido,1783828,-298601
Lucro líquido do período,2072659,1045553
Atribuível aos acionistas da controladora,2072659,1045553
Atribuível aos acionistas não controladores,0,0
Lucro por ação - básico,2.539,1.248
Lucro por ação - diluído,2.537,1.242
