Item,31/03/2025,31/12/2024
Fornecedores,976261,757596
Empréstimos e financiamentos - Circulante,343439,116157
Empréstimos e financiamentos - Não Circulante,10750632,11819920
Arrendamentos - Circulante,289544,329670
Arrendamentos - Não Circulante,2456820,2218816
Imposto de renda e contribuição social,0,0
Tributos e contribuições sociais a pagar,447430,830285
Dividendos propostos,0,0
Provisão para desmantelamento/abandono,3235936,3387766
Benefícios a empregados,216046,252270
Provisão para contingências judiciais,747337,758036
Outros passivos,123451,132943
Passivos associados a ativos mantidos para venda,0,0
Adiantamento de parceiros,268443,191816
Contas a pagar earn-out Albacora Leste,0,1077584
Marcação a mercado de swaps de debêntures,1099505,1483243
Debêntures locais - Circulante,55924,133066
Debêntures locais - Não Circulante,7069432,6332805
Tributos diferidos,106500,0
Total Passivo Circulante,2597087,3688444
Total Passivo Não Circulante,25589613,26133529
Capital social realizado,13510348,10611387
Reservas de capital,-1263545,-1016199
Reservas de lucros,11103347,13903347
Ajuste acumulado de conversão,1906029,3908900
Ajuste de avaliação patrimonial,-725673,-1483243
Resultado do período,2072659,0
Total do Passivo e PL,54789865,55746165
